Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average Prevalence
Nature Conservancy,0.0,0.0,0.0,0.00011760555098200635,0.0,0.0,0.0,,9.867771857114664e-05,0.0,0.00015167602002123465,7.984031936127745e-05,0.00012306934957848748,0.0002288329519450801,0.0,0.0001784121320249777,8.579272477693891e-05,0.0002517200872629636,,5.016806301108714e-05,0.0,0.0,0.0,0.00021110407430863416,0.0,0.00042158516020236085,0.0,0.0,0.0,0.0,0.0002242152466367713,0.0,0.0,0.0,0.0002699784017278618,0.00015649452269170578,0.0001670564650851988,0.0,0.0,0.0004751722499406035,0.0004748338081671415,9.65701242639866e-05
American Forests,,,,,0.0,,,0.0,,0.0,0.0007630675314765357,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.001177856301531213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0013812154696132596,0.00023327147328931422
National Fish and Wildlife Foundation,,,,,,,,,,,,,,,,,,,,,,,,0.0003721622627465575,0.0,0.0003832886163280951,0.0,0.0002531004808909137,0.0,0.0006345177664974619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034352456200618345,0.0,0.0,0.0,0.00011036631602606733
Natural Resources Defense Council,0.00015946420028703555,,0.0012970168612191958,0.00014310246136233542,0.0,0.0,0.0001579778830963665,0.00013829345871940258,0.0,,0.0002181500872600349,,0.0007370554634236226,0.0010197144799456153,0.0,0.0,0.0002295684113865932,0.0012774655084312723,0.0005768676088837611,,0.001183431952662722,0.0014605647517039922,0.00041203131437989287,0.000550357732526142,0.00030129557095510696,0.0006251953735542357,0.0015186028853454822,0.00037383177570093456,0.0,0.0,0.00014411298457991066,0.0003453634950785702,0.0,0.0005915409642117716,0.0017019207391198638,0.0005032712632108706,,0.0009119927040583675,0.00012161011796181443,0.0020676691729323306,0.004193197701506445,0.0006377963034306579
Conservation International,,,,,,,,,,,,,,,,,,,,,0.0004426737494466578,,0.00023696682464454977,0.00020016012810248197,0.00023837902264600716,0.0004991265285749938,0.0020876826722338203,0.0005227391531625719,0.0005782017924255566,0.0,0.0,0.0,0.0009737098344693282,0.00031026993484331366,0.0,0.00043084877208099956,0.0,0.0004042037186742118,0.0,0.00027114967462039046,0.0,0.00035980559029624416
World Wildlife Fund,,,,,,,,,,,,,,,,,,,,,0.0004976362279173924,0.00037965072133637056,0.0013271400132714001,0.0,0.00030745580322828596,0.00018244845831052726,0.0003669724770642202,0.0,0.0,0.0002573671342169605,0.0,0.0004222972972972973,0.0,0.0,0.0004923682914820286,0.0,0.00042069835927639884,0.0003951007506914263,0.0,0.0,0.000449034575662326,0.0002618176242740302
Sierra Club,,,,,,,,,,,,,,,,,,,,,0.0013698630136986301,0.0,0.0004992511233150275,0.00031133250311332503,0.0005116398055768739,0.0001277791975466394,0.00034083162917518747,0.00048204386599180526,0.000735564545788893,0.0011420740063956144,0.0014061401453011485,0.0018627755355479665,0.0005808887598024978,0.0019255455712451862,0.0029154518950437317,0.001951854261548471,0.0010050251256281408,0.0024989587671803417,0.002579218865143699,0.0016479894528675016,0.0022132054592401327,0.0012432111204357529
Ocean Conservancy,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0006493506493506494,0.0003536067892503536,0.0,0.0005068423720223011,0.0,0.0,0.000819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0007961783439490446,0.0001736472380955494
Environmental Defense Fund,0.0016960651289009499,0.0008203445447087777,0.0,0.0007968127490039841,0.001467351430667645,0.0004409171075837742,0.0005128205128205128,0.0010319917440660474,0.0007137758743754461,0.001492982979994028,0.0006397952655150352,0.00039032006245121,0.0013633265167007499,0.0015182186234817814,0.0005277044854881266,0.0,0.0003074085459575776,0.0009770395701025891,0.0010097610232245036,0.0008396305625524769,0.0013175230566534915,0.0,0.0,0.0,0.00041118421052631577,0.0003486750348675035,0.0002858776443682104,0.0006472491909385113,0.0006265664160401002,0.0,0.0009439899307740718,0.0004704775346977182,0.0008006405124099279,0.0007412898443291327,0.0007905138339920949,0.0008712698758440427,0.0,0.000555247084952804,0.0002907822041291073,0.0010126582278481013,0.0017101325352714834,0.0006919596064692155
Audubon Society,0.0,,,,0.0002744990392533626,0.0,0.0,0.00018264840182648402,0.0,0.00016225864027259452,,,,,,,,0.0001585791309863622,0.0001362583458236817,0.00011967448539971278,0.0,0.0002025111381125962,0.0,0.0,,0.0,0.00046533271288971617,0.0,,0.0004765687053216839,0.0001783166904422254,,0.0,0.0,0.0,,,,,,,0.00010712033137856453
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
