Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average Prevalence
Nature Conservancy,0.00025348542458808617,0.00013135426244581636,0.0002572347266881029,0.00011760555098200635,9.786651008025054e-05,0.0003132832080200501,0.0,,0.0,0.0,0.00015167602002123465,0.0008782435129740519,0.00012306934957848748,7.627765064836003e-05,0.00036937852063902485,0.0005352363960749331,0.0005147563486616335,0.0005034401745259272,,0.00040134450408869715,0.0,0.0,0.0015923566878980893,0.0004222081486172683,0.0004139072847682119,0.00042158516020236085,0.0003728560775540641,0.0005347593582887701,0.0005676979846721544,0.00041186161449752884,0.0004484304932735426,0.0006653359946773121,0.00129366106080207,0.0,0.0002699784017278618,0.0006259780907668231,0.0,0.000715307582260372,0.0004920452681646711,0.0,0.0,0.00035826208636378877
American Forests,,,,,0.0006341154090044388,,,0.0007558578987150416,,0.0005630630630630631,0.0011446012972148034,,,,,0.001375515818431912,,0.0,0.0,0.0018018018018018018,0.0,0.0,,,0.001841620626151013,0.0026929982046678637,0.006611570247933884,0.002355712603062426,0.0,0.0,0.0,0.0,0.0010371650821089024,0.0032948929159802307,0.0,0.0,0.0,0.0021691973969631237,0.00530035335689046,0.001488095238095238,0.0,0.0012246874429660815
National Fish and Wildlife Foundation,,,,,,,,,,,,,,,,,,,,,,,,0.0003721622627465575,0.0,0.0,0.0004098360655737705,0.002531004808909137,0.0014035087719298245,0.00031725888324873094,0.00033266799733865603,0.0006635700066357001,0.0,0.0011139992573338284,0.001064207165661582,0.00125,0.0006261740763932373,0.0010305736860185502,0.0006385696040868455,0.0018248175182481751,0.0010918520540466768,0.000815011231009515
Natural Resources Defense Council,0.001116249402009249,,0.002269779507133593,0.0007155123068116772,0.0008684324793747286,0.0013536379018612521,0.001263823064770932,0.0006914672935970129,0.0005226025607525476,,0.0013089005235602095,,0.0009213193292795283,0.0006798096532970768,0.0,0.0,0.0009182736455463728,0.001021972406745018,0.0017306028266512836,,0.0,0.0014605647517039922,0.00041203131437989287,0.000825536598789213,0.0021090689966857487,0.00031259768677711783,0.0,0.0014953271028037382,0.0,0.0,0.0008646779074794639,0.0010360904852357105,0.000605938194304181,0.001774622892635315,0.0004862630683199611,0.0012581781580271766,,0.0009119927040583675,0.000851270825732701,0.0010338345864661653,0.0020189470414660664,0.0009122034782293137
Conservation International,,,,,,,,,,,,,,,,,,,,,0.0,,0.0009478672985781991,0.0,0.0007151370679380214,0.0009982530571499876,0.0,0.0010454783063251437,0.0014455044810638912,0.0013271400132714001,0.0,0.0,0.0,0.0012410797393732546,0.0007648183556405354,0.0008616975441619991,0.0,0.0012126111560226355,0.0008237232289950577,0.0010845986984815619,0.003139169863969306,0.0007803539405485496
World Wildlife Fund,,,,,,,,,,,,,,,,,,,,,0.0006220452848967405,0.0007593014426727411,0.00145985401459854,0.0015132408575031526,0.0009223674096848578,0.00036489691662105453,0.0,0.001968503937007874,0.0009521542489883361,0.0009007849697593617,0.0006887052341597796,0.0004222972972972973,0.0005757052389176742,0.0005803830528148578,0.0004923682914820286,0.0,0.0,0.0007902015013828526,0.0,0.0,0.0,0.000619657604656531
Sierra Club,,,,,,,,,,,,,,,,,,,,,0.00045662100456621003,0.0008665511265164644,0.0,0.0006226650062266501,0.00025581990278843696,0.0007666751852798365,0.0006816632583503749,0.002651241262954929,0.0018389113644722325,0.0006852444038373687,0.00046871338176704945,0.0009313877677739833,0.0008713331397037467,0.0,0.0011661807580174927,0.0,0.0,0.0,0.0036845983787767134,0.0013183915622940012,0.0011066027296200663,0.0008748857253783599
Ocean Conservancy,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00041254125412541255,0.0023540489642184556,0.0011091393078970719,,0.0006493506493506494,0.0007072135785007072,0.0,0.0005068423720223011,0.0009643201542912247,0.0008525149190110827,0.000819672131147541,0.0,0.001597444089456869,0.0,0.0,0.0,0.0021536252692031586,0.0031847133757961785,0.0008506347813900364
Environmental Defense Fund,0.0030529172320217096,0.002871205906480722,0.003013344812742144,0.0015936254980079682,0.0022010271460014674,0.002204585537918871,0.0005128205128205128,0.0012899896800825593,0.00035688793718772306,0.0005971931919976113,0.0012795905310300703,0.00156128024980484,0.0013633265167007499,0.0010121457489878543,0.0005277044854881266,0.0,0.0009222256378727329,0.0014655593551538837,0.0003365870077415012,0.0008396305625524769,0.000878348704435661,0.001403180542563143,0.0,0.0009546539379474941,0.00041118421052631577,0.0003486750348675035,0.001429388221841052,0.00032362459546925567,0.0006265664160401002,0.0006607201850016518,0.0012586532410320957,0.0004704775346977182,0.0002668801708033093,0.00018532246108228317,0.0005270092226613965,0.00021781746896101068,0.001368738023542294,0.000277623542476402,0.0011631288165164292,0.0010126582278481013,0.0025651988029072254,0.0010573535832149748
Audubon Society,0.001325088339222615,,,,0.0021959923140269007,0.0002832058906825262,0.001038961038961039,0.00018264840182648402,0.0005957108816521049,0.00016225864027259452,,,,,,,,0.0011100539169045353,0.0008175500749420902,0.0004786979415988511,0.00027839643652561246,0.001012555690562981,0.00022197558268590456,0.00078064012490242,,0.0009212344541685859,0.0006979990693345743,0.0016652789342214821,,0.0009531374106433678,0.000891583452211127,,0.0008898116565327006,0.0029627047751829907,0.001964085297418631,,,,,,,0.0009740713783854601
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
