Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average Prevalence
Nature Conservancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.984031936127745e-05,0.0,0.0,0.0,0.0,8.579272477693891e-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006177924217462932,0.0002242152466367713,0.0,0.0,0.0,0.0002699784017278618,0.00015649452269170578,0.0001670564650851988,0.0,0.0003280301787764474,0.0,0.0,4.946667386673063e-05
American Forests,,,,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014947683109118087,0.0,0.0,0.0,0.0,0.0,0.0,5.536178929302995e-05
National Fish and Wildlife Foundation,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.000819672131147541,0.0,0.0007017543859649122,0.0,0.0,0.0,0.0,0.0,0.000354735721887194,0.0,0.00031308703819661864,0.0,0.0,0.0,0.0001364815067558346,0.0001292072657751167
Natural Resources Defense Council,0.00015946420028703555,,0.0006485084306095979,0.0007155123068116772,0.0004342162396873643,0.00016920473773265651,0.000315955766192733,0.00041488037615820773,0.0002613012803762738,,0.0002181500872600349,,0.0,0.0,0.0,0.0,0.0004591368227731864,0.0002554931016862545,0.0005768676088837611,,0.0,0.0,0.0,0.000275178866263071,0.0,0.0,0.0,0.00037383177570093456,0.0016556291390728477,0.0,0.0,0.0,0.0,0.0002957704821058858,0.0004862630683199611,0.0,,0.00022799817601459188,0.00012161011796181443,0.00018796992481203009,0.00015530361857431278,0.00023356239242456201
Conservation International,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0008673026886383347,0.0019907100199071004,0.0006459948320413437,0.0017331022530329288,0.0009737098344693282,0.0,0.001147227533460803,0.0,0.0,0.0,0.0002745744096650192,0.0,0.0,0.00038163107856074293
World Wildlife Fund,,,,,,,,,,,,,,,,,,,,,0.0001244090569793481,0.0007593014426727411,0.00026542800265428,0.0,0.0,0.0,0.0003669724770642202,0.00028121484814398203,0.0,0.00012868356710848025,0.0006887052341597796,0.0,0.0005757052389176742,0.0,0.0,0.0,0.0,0.0003951007506914263,0.0004351610095735422,0.0,0.0,0.00019146102990311785
Sierra Club,,,,,,,,,,,,,,,,,,,,,0.00045662100456621003,0.0,0.0,0.0,0.0,0.0,0.00034083162917518747,0.00048204386599180526,0.0003677822728944465,0.0,0.00023435669088352472,0.0003104625892579944,0.0,0.0,0.0,0.0,0.0,0.00041649312786339027,0.00036845983787767134,0.0,0.0,0.00014176433421477286
Ocean Conservancy,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.00047080979284369113,0.00022182786157941438,,0.0003246753246753247,0.0003536067892503536,0.0005906674542232723,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015633900786572995
Environmental Defense Fund,0.0,0.0,0.00043047783039173483,0.0,0.0,0.0004409171075837742,0.0005128205128205128,0.0007739938080495357,0.0,0.0005971931919976113,0.0,0.0,0.0,0.0,0.0,0.0,0.0003074085459575776,0.0,0.0,0.00041981528127623844,0.0,0.0004677268475210477,0.00046948356807511736,0.00047732696897374703,0.001644736842105263,0.0010460251046025104,0.0005717552887364208,0.000970873786407767,0.0,0.0003303600925008259,0.0006293266205160479,0.0002352387673488591,0.0005337603416066186,0.0,0.0,0.000653452406883032,0.0008212428141253764,0.0,0.0,0.0,0.00042753313381787086,0.00031125533808042653
Audubon Society,0.0,,,,0.0,0.0,0.0,0.0,0.00019857029388403494,0.00016225864027259452,,,,,,,,0.0,0.0001362583458236817,0.00035902345619913834,0.0,0.0,0.0,0.0,,0.0,0.00046533271288971617,0.0,,0.00015885623510722796,0.0,,0.00014830194275545008,0.0,0.0002805836139169473,,,,,,,8.678114731130868e-05
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
