Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average Prevalence
Nature Conservancy,0.00012674271229404308,0.00013135426244581636,0.0,0.00011760555098200635,9.786651008025054e-05,0.0,0.00037939865313478137,,0.0,0.000419639110365086,0.0004550280600637039,7.984031936127745e-05,0.00018460402436773122,0.0002288329519450801,0.0,0.0003568242640499554,0.0,0.0,,0.00020067225204434857,0.0005602240896358543,0.0,0.00022747952684258417,0.0,0.0004139072847682119,0.00042158516020236085,0.0,0.0016042780748663102,0.0005676979846721544,0.0,0.0002242152466367713,0.0006653359946773121,0.0,0.0,0.0002699784017278618,0.00031298904538341156,0.0001670564650851988,0.0011444921316165952,0.0006560603575528948,0.0004751722499406035,0.0,0.0002689456585831335
American Forests,,,,,0.0,,,0.0007558578987150416,,0.0,0.00038153376573826786,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017667844522968198,0.001488095238095238,0.0013812154696132596,0.0002138328453503195
National Fish and Wildlife Foundation,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0005062009617818274,0.0,0.00031725888324873094,0.00033266799733865603,0.00033178500331785003,0.0,0.0,0.000709471443774388,0.0,0.0,0.0,0.00021285653469561516,0.00030413625304136254,0.00040944452026750374,0.000173545644303663
Natural Resources Defense Council,0.0003189284005740711,,0.00032425421530479895,0.0,0.0004342162396873643,0.00033840947546531303,0.0001579778830963665,0.00013829345871940258,0.0001306506401881369,,0.0004363001745200698,,0.0,0.0,0.0,0.0,0.0002295684113865932,0.000510986203372509,0.00028843380444188056,,0.0,0.0004868549172346641,0.0,0.0,0.0,0.0,0.0,0.00037383177570093456,0.0,0.0,0.0007205649228995533,0.0003453634950785702,0.0,0.0005915409642117716,0.00024313153415998054,0.0005032712632108706,,0.00045599635202918376,0.00024322023592362885,0.0011278195488721805,0.0006212144742972511,0.00025057856639930826
Conservation International,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0010454783063251437,0.0008673026886383347,0.0013271400132714001,0.0,0.0,0.0009737098344693282,0.0,0.0026768642447418736,0.0012925463162429987,0.0,0.0004042037186742118,0.0,0.0016268980477223427,0.0003487966515521451,0.0005281469910818889
World Wildlife Fund,,,,,,,,,,,,,,,,,,,,,0.0002488181139586962,0.0015186028853454822,0.0009289980092899801,0.0,0.0,0.0,0.0003669724770642202,0.00140607424071991,0.0009521542489883361,0.0006434178355424012,0.0,0.0029560810810810812,0.0011514104778353484,0.0011607661056297156,0.0004923682914820286,0.0005241090146750524,0.0,0.0007902015013828526,0.0008703220191470844,0.0,0.000449034575662326,0.0006885395656097389
Sierra Club,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0006226650062266501,0.00025581990278843696,0.0,0.0,0.0007230657989877079,0.0003677822728944465,0.0,0.00023435669088352472,0.0,0.0,0.0,0.0005830903790087463,0.0,0.0005025125628140704,0.0,0.001105379513633014,0.0,0.00036886757654002215,0.00022683522398936283
Ocean Conservancy,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00041254125412541255,0.0,0.0,,0.000974025974025974,0.0007072135785007072,0.0,0.0005068423720223011,0.0019286403085824494,0.0,0.0,0.0,0.0007987220447284345,0.0,0.0,0.0,0.0,0.0,0.0002959991962214044
Environmental Defense Fund,0.0006784260515603799,0.00041017227235438887,0.0,0.0007968127490039841,0.0,0.0,0.0,0.0,0.00035688793718772306,0.0,0.0,0.0,0.00034083162917518747,0.0005060728744939271,0.0,0.0005455537370430987,0.0003074085459575776,0.0004885197850512946,0.0,0.0,0.0,0.0004677268475210477,0.0,0.0,0.001644736842105263,0.0,0.0,0.00032362459546925567,0.0004177109440267335,0.0006607201850016518,0.0,0.0,0.0002668801708033093,0.0,0.0005270092226613965,0.00021781746896101068,0.0002737476047084588,0.000277623542476402,0.0,0.00025316455696202533,0.00042753313381787086,0.00024851172430102403
Audubon Society,0.0,,,,0.0008234971177600879,0.0,0.0,0.0,0.0,0.00016225864027259452,,,,,,,,0.0,0.0,0.00011967448539971278,0.0,0.0002025111381125962,0.0,0.0,,0.0,0.00023266635644485808,0.00041631973355537054,,0.00015885623510722796,0.0005349500713266762,,0.0008898116565327006,0.0003485535029627048,0.0005611672278338945,,,,,,,0.00020228482569583747
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
