Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average Prevalence
Nature Conservancy,0.00012674271229404308,0.00013135426244581636,0.00012861736334405144,0.00011760555098200635,9.786651008025054e-05,0.00010442773600668337,0.0,,0.0,0.0,0.0,0.0,0.00012306934957848748,0.0,0.0,0.0,0.0,0.0,,0.00010033612602217429,0.0,0.0,0.0,0.00021110407430863416,0.0,0.0,0.0,0.0,0.0002838489923360772,0.00020593080724876442,0.0,0.0,0.0,0.0,0.0008099352051835853,0.00031298904538341156,0.0,0.00042918454935622315,0.0003280301787764474,0.0,0.0,9.002672982940143e-05
American Forests,,,,,0.0,,,0.0007558578987150416,,0.0,0.00038153376573826786,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017286084701815038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.852787079523925e-05
National Fish and Wildlife Foundation,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00031725888324873094,0.0,0.00033178500331785003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001364815067558346,4.3640299629023086e-05
Natural Resources Defense Council,0.00015946420028703555,,0.00032425421530479895,0.0,0.00021710811984368216,0.00016920473773265651,0.0001579778830963665,0.00041488037615820773,0.0001306506401881369,,0.0,,0.0003685277317118113,0.0003399048266485384,0.0,0.0,0.0,0.0002554931016862545,0.00028843380444188056,,0.0007889546351084812,0.0014605647517039922,0.0012360939431396785,0.0,0.00030129557095510696,0.0,0.0,0.00037383177570093456,0.0,0.0,0.00014411298457991066,0.0008634087376964255,0.000605938194304181,0.0002957704821058858,0.0007293946024799417,0.000754906894816306,,0.0011399908800729594,0.00036483035388544326,0.0006578947368421052,0.00031060723714862557,0.0003570415393788708
Conservation International,,,,,,,,,,,,,,,,,,,,,0.0004426737494466578,,0.0,0.00020016012810248197,0.0,0.0,0.0,0.0,0.0,0.0013271400132714001,0.0006459948320413437,0.0,0.0,0.0,0.0,0.0,0.0005385029617662897,0.0,0.0002745744096650192,0.0,0.0,0.00017145230471465964
World Wildlife Fund,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00018244845831052726,0.0007339449541284404,0.0,0.0,0.0002573671342169605,0.0,0.0004222972972972973,0.0,0.0005803830528148578,0.0004923682914820286,0.0,0.0,0.0,0.0,0.0,0.0,0.0001270861518214339
Sierra Club,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.00025581990278843696,0.0001277791975466394,0.0,0.0,0.0003677822728944465,0.0,0.0,0.0009313877677739833,0.0011617775196049957,0.0012836970474967907,0.0011661807580174927,0.002602472348731295,0.001507537688442211,0.0024989587671803417,0.002210759027266028,0.0016479894528675016,0.0018443378827001106,0.000838403792062394
Ocean Conservancy,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Environmental Defense Fund,0.0,0.00041017227235438887,0.0,0.0007968127490039841,0.0,0.0,0.0005128205128205128,0.0,0.0,0.0005971931919976113,0.0,0.0,0.00034083162917518747,0.0,0.0,0.0005455537370430987,0.0,0.0019540791402051783,0.0010097610232245036,0.0,0.0004391743522178305,0.0,0.00046948356807511736,0.00047732696897374703,0.0,0.0003486750348675035,0.0,0.0,0.000835421888053467,0.0006607201850016518,0.00031466331025802394,0.0007057163020465773,0.0013344008540165466,0.0016679021497405485,0.0013175230566534915,0.00043563493792202136,0.0005474952094169176,0.000555247084952804,0.0002907822041291073,0.0015189873417721519,0.0008550662676357417,0.0004619864627209198
Audubon Society,0.00044169611307420494,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0001585791309863622,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0001742767514813524,0.0,,,,,,,3.520690888826907e-05
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
