Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average Prevalence
Nature Conservancy,0.00025348542458808617,0.0,0.0,0.0,0.0002935995302407516,0.0,0.00028454898985108605,,9.867771857114664e-05,0.0,0.0003033520400424693,0.0,0.00012306934957848748,7.627765064836003e-05,9.234463015975621e-05,0.0003568242640499554,0.00017158544955387783,0.0001678133915086424,,5.016806301108714e-05,0.0,0.00031298904538341156,0.00045495905368516835,0.0,0.0,0.0008431703204047217,0.0003728560775540641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002699784017278618,0.000782472613458529,0.0005011693952555964,0.0,0.0004920452681646711,0.0004751722499406035,0.0,0.00017375792121482905
American Forests,,,,,0.0,,,0.0007558578987150416,,0.0,0.00038153376573826786,,,,,0.000687757909215956,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.001177856301531213,0.0,0.0,0.0,0.0,0.00017286084701815038,0.0,0.0,0.0,0.0,0.0021691973969631237,0.0,0.0,0.0,0.00019796533774747233
National Fish and Wildlife Foundation,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033266799733865603,0.0,0.0003588087549336204,0.0,0.0,0.0,0.0,0.00034352456200618345,0.00021285653469561516,0.0,0.0,6.932543605411528e-05
Natural Resources Defense Council,0.00015946420028703555,,0.00032425421530479895,0.0005724098454493417,0.00021710811984368216,0.00033840947546531303,0.000315955766192733,0.00013829345871940258,0.0001306506401881369,,0.00010907504363001745,,0.0,0.0003399048266485384,0.0,0.0024630541871921183,0.0004591368227731864,0.0,0.0,,0.0003944773175542406,0.0,0.0008240626287597857,0.000275178866263071,0.0012051822838204278,0.0,0.0007593014426727411,0.0,0.0,0.0,0.0007205649228995533,0.0006907269901571404,0.00020197939810139365,0.0,0.0,0.0005032712632108706,,0.00045599635202918376,0.00036483035388544326,0.00018796992481203009,0.0007765180928715639,0.00035910490107588194
Conservation International,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.00023837902264600716,0.0002495632642874969,0.0,0.0,0.0,0.0,0.0,0.0017331022530329288,0.0,0.0,0.0003824091778202677,0.0,0.0,0.0,0.0,0.0005422993492407809,0.0,0.00015728765335137407
World Wildlife Fund,,,,,,,,,,,,,,,,,,,,,0.0001244090569793481,0.00037965072133637056,0.00013271400132714,0.0,0.00030745580322828596,0.0,0.0,0.0005624296962879641,0.0,0.00012868356710848025,0.0,0.0008445945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001180922590886754
Sierra Club,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.00024962556165751375,0.0,0.0,0.0002555583950932788,0.0006816632583503749,0.0,0.0,0.0006852444038373687,0.0,0.0003104625892579944,0.0002904443799012489,0.0,0.0,0.0,0.0,0.0008329862557267805,0.00036845983787767134,0.0,0.0,0.0001749735562715348
Ocean Conservancy,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00041254125412541255,0.00047080979284369113,0.0006654835847382431,,0.0,0.0,0.0011813349084465446,0.0005068423720223011,0.0,0.0,0.0,0.0,0.0007987220447284345,0.0,0.001519756838905775,0.002002002002002002,0.0007178750897343862,0.0,0.0004597426604192661
Environmental Defense Fund,0.00033921302578018993,0.0,0.0,0.0,0.0,0.0,0.0010256410256410256,0.0,0.00035688793718772306,0.0,0.0003198976327575176,0.0,0.0,0.0,0.0005277044854881266,0.0010911074740861974,0.0003074085459575776,0.0,0.0,0.0,0.0,0.0004677268475210477,0.0,0.0009546539379474941,0.0008223684210526315,0.0024407252440725243,0.0002858776443682104,0.0012944983818770227,0.0004177109440267335,0.0009910802775024777,0.0,0.0011761938367442955,0.0013344008540165466,0.001111934766493699,0.0005270092226613965,0.001306904813766064,0.0008212428141253764,0.000555247084952804,0.0005815644082582146,0.0010126582278481013,0.0008550662676357417,0.0005103591249211888
Audubon Society,0.00044169611307420494,,,,0.0002744990392533626,0.0,0.00025974025974025974,0.00036529680365296805,0.0,0.0008112932013629726,,,,,,,,0.0006343165239454488,0.0,0.00011967448539971278,0.0,0.0,0.0,0.0,,0.0,0.0,0.0008326394671107411,,0.0,0.0001783166904422254,,0.0,0.0,0.0,,,,,,,0.00017806693563554072
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
