Year,Nature Conservancy,American Forests,National Fish and Wildlife Foundation,Natural Resources Defense Council,Conservation International,World Wildlife Fund,Sierra Club,Ocean Conservancy,Environmental Defense Fund,Audubon Society,Testimony,ENVS_avg
1980.0,,,,,,,,,6.0,,,6.0
1981.0,,,,,,,,,6.0,,,6.0
1982.0,,,,,,,,,4.0,,,4.0
1983.0,,,,,,,,,2.0,,,2.0
1984.0,,1.0,,,,,,,4.0,,,2.5
1985.0,,,,,,,,,2.0,,,2.0
1986.0,,,,,,,,,0.0,,,0.0
1987.0,,1.0,,,,,,,3.0,,,2.0
1988.0,,,,,,,,,3.0,,,3.0
1989.0,,5.0,,,,,,,2.0,,,3.5
1990.0,,3.0,,,,,,,3.0,,,3.0
1991.0,,,,,,,,,2.0,,,2.0
1992.0,,,,,,,,,3.0,,,3.0
1993.0,,,,,,,,,4.0,,,4.0
1994.0,,,,,,,,,1.0,,,1.0
1995.0,,1.0,,,,,,,5.0,,,3.0
1996.0,,,,,,,,,5.0,,,5.0
1997.0,,0.0,,,,,,,3.0,3.0,,2.0
1998.0,,1.0,,,,,,,2.0,1.0,,1.3333333333333333
1999.0,,0.0,,,,,,,0.0,2.0,,0.6666666666666666
2000.0,,0.0,,,3.0,2.0,0.0,,0.0,0.0,,0.8333333333333334
2001.0,4.0,0.0,,,,2.0,,,2.0,1.0,,1.8
2002.0,1.0,,,,8.0,2.0,,0.0,1.0,0.0,,2.0
2003.0,4.0,,7.0,,2.0,1.0,,0.0,3.0,1.0,,2.5714285714285716
2004.0,0.0,0.0,2.0,,8.0,4.0,,0.0,0.0,,,2.0
2005.0,3.0,0.0,7.0,,2.0,0.0,,0.0,3.0,0.0,,1.875
2006.0,5.0,0.0,6.0,,1.0,1.0,,,1.0,0.0,,2.0
2007.0,4.0,3.0,13.0,,4.0,5.0,,,3.0,0.0,,4.571428571428571
2008.0,4.0,1.0,1.0,,8.0,3.0,,1.0,8.0,,,3.7142857142857144
2009.0,10.0,1.0,10.0,,2.0,8.0,1.0,0.0,5.0,6.0,,4.777777777777778
2010.0,10.0,0.0,10.0,4.0,1.0,1.0,2.0,6.0,3.0,5.0,,4.2
2011.0,2.0,1.0,5.0,6.0,1.0,6.0,,4.0,8.0,,,4.125
2012.0,7.0,5.0,7.0,12.0,0.0,2.0,3.0,2.0,7.0,4.0,,4.9
2013.0,2.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,9.0,4.0,7.0,3.2
2014.0,11.0,1.0,6.0,1.0,3.0,1.0,6.0,1.0,3.0,6.0,8.0,3.9
2015.0,16.0,2.0,4.0,1.0,6.0,0.0,7.0,5.0,4.0,,3.0,5.0
2016.0,17.0,0.0,8.0,,3.0,2.0,5.0,0.0,3.0,,15.0,4.75
2017.0,5.0,1.0,4.0,4.0,4.0,3.0,7.0,1.0,2.0,,10.0,3.4444444444444446
2018.0,14.0,1.0,4.0,3.0,7.0,4.0,18.0,1.0,6.0,,30.0,6.444444444444445
2019.0,9.0,2.0,5.0,6.0,5.0,0.0,5.0,1.0,8.0,,13.0,4.555555555555555
2020.0,5.0,1.0,23.0,10.0,3.0,2.0,1.0,1.0,0.0,,20.0,5.111111111111111
