Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average Prevalence
Nature Conservancy,0.00038022813688212925,0.00013135426244581636,0.0007717041800643086,0.0002352111019640127,0.0,0.00020885547201336674,0.0,,0.00039471087428458656,0.000419639110365086,0.0003033520400424693,7.984031936127745e-05,0.00012306934957848748,0.0002288329519450801,0.00018468926031951243,0.0003568242640499554,0.0,0.00041953347877160595,,0.00020067225204434857,0.0,0.00031298904538341156,0.0,0.0,0.0,0.0,0.0007457121551081282,0.0005347593582887701,0.0005676979846721544,0.001029654036243822,0.0002242152466367713,0.0,0.00129366106080207,0.0,0.0002699784017278618,0.00015649452269170578,0.0006682258603407952,0.0002861230329041488,0.0006560603575528948,0.00023758612497030174,0.0004748338081671415,0.0003050386679390262
American Forests,,,,,0.0,,,0.0,,0.0005630630630630631,0.00038153376573826786,,,,,0.0,,0.002976190476190476,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0035335689045936395,0.0,0.0013477088948787063,0.0,0.0,0.00034572169403630077,0.0,0.0,0.001694915254237288,0.0,0.0021691973969631237,0.0,0.0,0.0,0.0004819222018407728
National Fish and Wildlife Foundation,,,,,,,,,,,,,,,,,,,,,,,,0.0003721622627465575,0.0,0.0003832886163280951,0.0004098360655737705,0.0015186028853454822,0.0,0.0006345177664974619,0.0,0.0013271400132714001,0.0003588087549336204,0.0,0.0,0.0004166666666666667,0.0,0.0006870491240123669,0.0,0.00030413625304136254,0.0009553705472908421,0.00040930994198375695
Natural Resources Defense Council,0.00015946420028703555,,0.0,0.00028620492272467084,0.00021710811984368216,0.0,0.000315955766192733,0.00013829345871940258,0.0001306506401881369,,0.0,,0.0003685277317118113,0.0006798096532970768,0.0,0.0,0.0006887052341597796,0.000510986203372509,0.0011537352177675222,,0.0003944773175542406,0.0,0.0,0.000275178866263071,0.0006025911419102139,0.00031259768677711783,0.0,0.0,0.0,0.0,0.0002882259691598213,0.0003453634950785702,0.001211876388608362,0.0,0.0004862630683199611,0.0002516356316054353,,0.00022799817601459188,0.0,0.00018796992481203009,0.00031060723714862557,0.00026511739031990003
Conservation International,,,,,,,,,,,,,,,,,,,,,0.0008853474988933156,,0.0016587677725118483,0.00040032025620496394,0.0004767580452920143,0.0007486897928624906,0.0020876826722338203,0.0005227391531625719,0.0011564035848511131,0.0006635700066357001,0.0,0.0,0.0,0.0006205398696866273,0.0007648183556405354,0.0012925463162429987,0.0,0.0012126111560226355,0.0005491488193300384,0.0005422993492407809,0.0013951866062085804,0.0007488714627510018
World Wildlife Fund,,,,,,,,,,,,,,,,,,,,,0.0008708633988554367,0.0007593014426727411,0.00039814200398142005,0.00025220680958385876,0.0006149116064565719,0.00018244845831052726,0.0014678899082568807,0.000843644544431946,0.0016662699357295882,0.00038605070132544073,0.0027548209366391185,0.0,0.0,0.0,0.0004923682914820286,0.0005241090146750524,0.00042069835927639884,0.0003951007506914263,0.0004351610095735422,0.0,0.0,0.0005935231986639037
Sierra Club,,,,,,,,,,,,,,,,,,,,,0.0,0.0008665511265164644,0.0004992511233150275,0.0,0.00025581990278843696,0.0001277791975466394,0.0,0.00048204386599180526,0.0003677822728944465,0.0,0.0,0.0003104625892579944,0.0,0.0,0.0005830903790087463,0.0,0.0005025125628140704,0.0,0.001105379513633014,0.0,0.0,0.00024288916827460214
Ocean Conservancy,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00041254125412541255,0.0,0.0,,0.0003246753246753247,0.0003536067892503536,0.0,0.0,0.0,0.0008525149190110827,0.0,0.0,0.0,0.0,0.0,0.0,0.0007178750897343862,0.0,0.00014784518759980886
Environmental Defense Fund,0.0006784260515603799,0.00041017227235438887,0.0,0.00039840637450199205,0.0,0.0013227513227513227,0.0,0.0,0.0007137758743754461,0.0008957897879964168,0.0009596928982725527,0.0,0.00034083162917518747,0.0010121457489878543,0.0010554089709762533,0.0,0.0009222256378727329,0.0004885197850512946,0.0013463480309660047,0.0,0.0004391743522178305,0.0004677268475210477,0.0,0.00047732696897374703,0.00041118421052631577,0.001394700139470014,0.0008576329331046312,0.000970873786407767,0.0012531328320802004,0.0003303600925008259,0.0,0.0004704775346977182,0.0,0.001111934766493699,0.0015810276679841897,0.00021781746896101068,0.0005474952094169176,0.000277623542476402,0.0002907822041291073,0.0010126582278481013,0.0,0.0005525956870646671
Audubon Society,0.0,,,,0.0005489980785067252,0.0,0.00025974025974025974,0.0,0.0003971405877680699,0.00016225864027259452,,,,,,,,0.0,0.0001362583458236817,0.00035902345619913834,0.0,0.0,0.0,0.0,,0.00023030861354214648,0.0,0.0008326394671107411,,0.00015885623510722796,0.0005349500713266762,,0.0,0.0,0.0002805836139169473,,,,,,,0.00017730715315064584
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
