Word,Count
energy,1595
connecticut,1247
gas,1014
would,797
state,771
bill,748
new,729
tax,720
natural,678
,569
¥,439
carbon,438
cost,423
year,416
committee,413
act,413
fuel,391
electric,358
customers,357
oil,352
power,340
hb,335
ct,326
emissions,317
costs,315
also,281
public,276
electricity,273
testimony,261
consumers,259
million,256
states,251
sb,249
us,246
standards,242
use,241
members,240
one,235
tesla,232
businesses,228
concerning,227
system,221
already,210
opportunity,209
no,209
companies,207
industry,207
business,206
technology,206
service,205
association,203
efficiency,201
home,200
propane,198
local,198
ð,197
1,196
waste,196
england,195
dealers,186
thank,185
many,184
heating,183
time,182
program,178
work,178
provide,174
legislation,173
environmental,171
company,171
2,169
price,167
may,166
proposed,166
consumer,166
property,164
years,163
resources,161
clean,161
existing,159
well,159
3,158
vehicles,156
used,156
per,156
first,155
renewable,155
change,153
even,152
building,152
jobs,152
including,152
additional,151
deep,149
opposition,148
good,147
could,146
march,145
impact,145
market,144
programs,142
capacity,139
products,138
general,136
current,135
sold,134
increase,134
climate,134
air,133
fuels,133
policy,133
make,133
massachusetts,132
residents,132
need,131
representative,131
people,130
5363,129
support,128
law,127
taxes,127
distribution,127
infrastructure,127
transportation,126
like,126
manufacturers,123
regulations,122
5,121
high,121
less,121
today,119
reduce,118
prices,117
generation,117
development,117
bills,117
since,117
wind,117
facilities,116
2018,115
pipeline,114
economic,114
car,113
every,112
solar,112
without,111
residential,111
regarding,110
pay,109
report,109
fracturing,109
oppose,108
authority,108
raised,108
future,106
cold,106
environment,106
customer,106
result,105
hydraulic,105
standard,105
plants,104
water,104
name,103
establishing,103
department,103
utility,102
savings,102
process,102
require,102
likely,101
homes,101
sales,100
economy,99
co2,99
federal,98
fossil,97
however,97
house,96
associated,96
rate,96
within,95
rebate,94
total,94
utilities,93
commercial,93
get,92
sell,92
legislative,92
hartford,90
reducing,90
product,90
two,90
reduction,90
connecticutõs,89
opposes,89
competitive,89
senate,89
reasons,88
demand,88
projects,88
receive,88
section,88
grid,87
create,87
vehicle,87
regulatory,87
government,86
senator,86
mortgage,86
amount,85
see,85
must,85
heat,84
based,84
significant,84
employees,84
protection,84
important,83
billion,83
class,83
available,82
town,82
benefits,81
increased,81
proposal,81
director,81
help,80
greenhouse,80
required,80
consumption,80
according,80
wastes,80
towns,80
office,79
dealerships,79
pura,79
meet,79
2020,79
large,78
much,78
currently,78
purchase,78
tons,78
efficient,78
february,78
please,78
potential,78
municipal,77
take,77
information,77
average,77
means,77
eversource,77
10,77
national,76
level,76
stateõs,76
goals,76
it,75
diesel,75
world,75
homeowners,75
franchise,75
needs,75
california,75
source,74
green,74
set,74
codes,74
council,73
produced,73
president,73
community,73
services,73
urge,72
2017,72
communities,72
lamps,72
low,71
passed,71
